"S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15"
"49","2","2","2","2","2","1","1","1","1","1","2","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"50","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2"
"51","1","1","1","1","2","2","1","1","1","1","2","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"52","1","1","2","1","2","1","1","1","1","1","2","1","1","1","1","2","2","1","2","2","2","2","2","2","2","1","1","2","2","2"
"53","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"54","1","2","1","1","1","2","1","2","1","2","1","2","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2"
"55","1","1","1","2","1","1","2","1","1","2","2","1","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2"
"56","1","1","2","1","1","2","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"57","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","1","2","2","2","2","2","2","2","2","1","2"
"58","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","2","2","2","2","2","1","2","2","2","2","2","2","2","1","2"
"59","1","1","1","1","1","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"60","1","1","1","1","2","1","1","1","2","1","1","2","1","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2"
"61","1","1","1","1","1","2","1","1","1","1","2","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2"
"62","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"63","1","1","1","1","1","2","2","1","1","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"64","1","1","1","1","1","2","1","1","1","1","2","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2"
"65","1","1","1","1","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2"
"66","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"67","1","1","1","1","2","2","1","1","1","1","1","2","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"68","1","2","1","2","2","2","1","1","1","1","2","2","2","1","1","2","2","2","1","1","2","2","2","2","1","2","2","1","2","2"
"69","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"70","1","1","1","1","2","2","1","1","1","1","2","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"71","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2"
"72","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"73","1","1","1","1","1","2","2","2","2","1","2","2","1","1","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2"
"74","1","2","1","1","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2"
"75","2","2","2","2","2","1","1","2","1","2","2","2","1","1","2","2","2","2","2","2","1","2","1","2","1","1","2","2","2","1"
"76","1","2","1","1","2","2","1","1","2","1","2","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"77","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","1","2","2","2","1","2","2","2","2","2","2","1"
"78","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"79","2","2","2","2","2","1","1","2","1","2","1","2","2","2","1","2","2","2","2","2","2","2","2","2","2","1","1","2","1","2"
"80","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"81","1","1","1","1","2","1","1","1","2","2","2","1","2","1","1","2","2","1","2","1","2","2","2","2","2","2","1","2","2","2"
"82","2","1","1","1","2","2","2","1","1","1","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"83","1","1","1","1","1","2","1","1","1","1","2","2","1","1","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2"
"84","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"85","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2"
"86","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"87","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","1","1"
"88","2","2","1","1","1","1","2","1","1","1","1","1","1","1","1","2","2","2","2","1","1","2","2","2","2","2","2","1","2","1"
"89","2","2","2","2","2","2","2","1","1","1","1","2","2","1","1","2","2","2","2","2","2","1","1","1","1","1","1","2","1","1"
"90","1","1","1","2","1","2","1","1","1","1","1","2","2","1","1","2","2","1","2","2","2","2","2","1","2","2","1","2","2","1"
"91","2","1","2","1","2","1","2","1","1","2","2","2","1","2","1","2","2","2","2","2","1","2","2","1","2","2","2","2","2","2"
"92","1","1","1","1","2","2","1","1","1","1","2","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2"
